instance,domain,heuristic,plan_length,plan_cost,states_expanded,states_reopened,states_evaluated,evaluations,states_generated,dead_ends,states_expanded_ulj,states_reopened_ulj,states_evaluated_ulj,states_generated_ulj,registered_states,hash_set_load_factor,hash_set_resizes,search_time,total_time,peak_memory
mprime - prob15.pddl,mprime,add,6,6,7,0,1576,1576,1576,0,0,0,1,0,1576,0.769531,11,1.26759,1.5775,81336
mprime - prob15.pddl,mprime,cg,6,6,7,0,1576,1576,1576,0,0,0,1,0,1576,0.769531,11,0.117608,0.391612,80384
mprime - prob16.pddl,mprime,add,6,6,12,0,800,800,815,0,1,0,74,73,800,0.78125,10,0.110533,0.170626,60380
mprime - prob16.pddl,mprime,cg,6,6,25,0,1503,1503,1722,0,4,0,287,291,1503,0.733887,11,0.0729993,0.130936,60556
mprime - prob17.pddl,mprime,add,4,4,6,0,1069,1069,1070,0,0,0,1,0,1069,0.521973,11,0.504301,0.687914,69932
mprime - prob17.pddl,mprime,cg,4,4,5,0,866,866,866,0,0,0,1,0,866,0.845703,10,0.0593175,0.224396,70816
freecell - p01.pddl,freecell,add,8,8,9,0,49,49,48,0,0,0,1,0,49,0.765625,6,0.0049516,0.0227352,56524
freecell - p01.pddl,freecell,cg,8,8,9,0,49,49,48,0,0,0,1,0,49,0.765625,6,0.0050005,0.0179717,59236
freecell - p02.pddl,freecell,add,15,15,16,0,110,110,110,0,0,0,1,0,110,0.859375,7,0.0160006,0.0360062,57140
freecell - p02.pddl,freecell,cg,14,14,15,0,94,94,95,0,0,0,1,0,94,0.734375,7,0.0120035,0.0308337,57080
freecell - probfreecell-2-1.pddl,freecell,add,9,9,10,0,86,86,86,0,0,0,1,0,86,0.671875,7,0.0161349,0.0625423,59200
freecell - probfreecell-2-1.pddl,freecell,cg,9,9,10,0,54,54,54,0,0,0,1,0,54,0.84375,6,0.0058423,0.0459891,58576
freecell - probfreecell-2-2.pddl,freecell,add,8,8,9,0,75,75,74,0,0,0,1,0,75,0.585938,7,0.012215,0.0590512,59192
